industry_ifr19,ifrString,apr_lv04,apr_lv07,apr_lv10,apr_lv14,thetaProd,theta_p,sigma_p,theta_p_detrend,sigma_p_detrend,emp_us_,vadd_1989,shares,ifrCode
"automotive","Automotive",69.01,85.72555,87.56395,117.7239,.3480975,.5184544,.1558997,.7600822,.1024231,638.83,86038.5,.0645,"automotive"
"electronics","Electronics",5.71,8.653976,10.3389,13.10602,.2768281,.5113253,.2532982,.7087879,.1764025,1609,213904.7,.1488,"electronics"
"food","Food and Beverages",2.91,3.922889,4.855599,6.173137,.2142387,.3109179,.1795431,.4716682,.1307626,1226.75,133839.5,.117,"food"
"furniture","Wood and Furniture",.01,.0171909,.022162,.1386901,.4075211,.4800869,.1548587,.7508963,.106486,916.17,35013.8,.0276,"furniture"
"manufacturing_other","Miscellaneous Manufacturing",1.4,1.963926,2.356488,13.81719,.3220196,.6884065,.1580782,.9308478,.1234191,264.99,18897.8,.0399,"manufacturing_other"
"metal_basic","Basic Metals",3.98,5.049511,5.396994,7.16703,.3757073,.3769834,.1731483,.5772821,.1294983,590.6,47912,.0312,"metal_basic"
"metal_machinery","Industrial Machinery",1.32,1.674012,1.789031,2.374919,.3343945,.462718,.1869794,.6926717,.1414493,1111.9,99995.6,.0784,"metal_machinery"
"metal_products","Metal Products",4.6,5.836375,6.238071,8.284266,.3493713,.6047012,.164372,.8345128,.1053166,973.23,57930.4,.0701,"metal_products"
"mineral","Clay Glass and Minerals",.12,.238615,.2826546,.6771105,.325226,.4910825,.1331174,.7032979,.0943565,445.5,34265,.0241,"mineral"
"paper","Paper and Publishing",0,.0016218,.0084838,.1086639,.2776472,.3263876,.1344729,.6043429,.0901169,1192.44,137340.2,.0467,"paper"
"petrochemicals","Plastics Chemicals and Pharmaceuticals",5.12,6.948222,7.951354,9.904892,.1846281,.7238861,.8071499,.9273158,.5224234,1311.43,212642.3,.2704,"petrochemicals"
"textiles","Apparel and Textiles",0,.0044135,.0081305,.0451998,.4259807,.3368923,.1235975,.4640407,.096398,1570.32,53192.1,.0135,"textiles"
"vehicles_other","Shipbuilding and Aerospace",.05,.1181571,.1539829,.5397837,.3167761,.4598615,.1414201,.6126519,.1140622,605.53,75674.7,.0677,"vehicles_other"
