industry_ifr19	gvkey	fyear	sic2	ifrCode	tfp_raw	p_raw	tfp	adf_p_val	adf_p_val_trend	N_firm_df	trend_stationary	stationary	N_firm	tfp_ip	_spell	_seq	_end	max_spell	max_max_spell	max_id_spell	tfp_cycle	p
"automotive"	1786	1971	37	"automotive"	-.1053321	.9000256		.0267341	9.52e-06	22	1	1	31	-.10533209	1	1	0	29	29	1		
"automotive"	1786	1972	37	"automotive"	-.1493638	.8612557		.0267341	9.52e-06	22	1	1	31	-.14936382	1	2	0	29	29	1		
"automotive"	1786	1973	37	"automotive"	-.0643976	.9376321		.0267341	9.52e-06	22	1	1	31	-.06439763	1	3	0	29	29	1		
"automotive"	1786	1974	37	"automotive"	-.0975748	.9070345		.0267341	9.52e-06	22	1	1	31	-.09757479	1	4	0	29	29	1		
"automotive"	1786	1975	37	"automotive"	-.0194145	.9807727		.0267341	9.52e-06	22	1	1	31	-.01941455	1	5	0	29	29	1		
"automotive"	1786	1976	37	"automotive"	.0471367	1.048265		.0267341	9.52e-06	22	1	1	31	.04713672	1	6	0	29	29	1	.0987378	.0987378
"automotive"	1786	1977	37	"automotive"	.1190119	1.126383		.0267341	9.52e-06	22	1	1	31	.11901193	1	7	0	29	29	1	.1334958	.1334958
"automotive"	1786	1978	37	"automotive"	-.0199906	.9802079		.0267341	9.52e-06	22	1	1	31	-.01999056	1	8	0	29	29	1	-.0690679	-.0690679
"automotive"	1786	1979	37	"automotive"	-.0912877	.9127551		.0267341	9.52e-06	22	1	1	31	-.09128771	1	9	0	29	29	1	-.1608789	-.1608789
"automotive"	1786	1980	37	"automotive"	-.1811933	.8342741		.0267341	9.52e-06	22	1	1	31	-.18119334	1	10	0	29	29	1	-.1637421	-.1637421
"automotive"	1786	1981	37	"automotive"	-.115255	.8911389		.0267341	9.52e-06	22	1	1	31	-.11525503	1	11	0	29	29	1	-.087658	-.087658
"automotive"	1786	1982	37	"automotive"	-.0845712	.9189062		.0267341	9.52e-06	22	1	1	31	-.08457119	1	12	0	29	29	1	-.0429313	-.0429313
"automotive"	1786	1983	37	"automotive"	-.0291854	.9712364		.0267341	9.52e-06	22	1	1	31	-.02918539	1	13	0	29	29	1	-.0078789	-.0078789
"automotive"	1786	1984	37	"automotive"	-.0365659	.9640946		.0267341	9.52e-06	22	1	1	31	-.03656586	1	14	0	29	29	1	-.0096573	-.0096573
"automotive"	1786	1985	37	"automotive"	.0127707	1.012853		.0267341	9.52e-06	22	1	1	31	.01277071	1	15	0	29	29	1	.0421838	.0421838
"automotive"	1786	1986	37	"automotive"	-.1529619	.8581625		.0267341	9.52e-06	22	1	1	31	-.15296187	1	16	0	29	29	1	-.1284365	-.1284365
"automotive"	1786	1987	37	"automotive"	.0534828	1.054939		.0267341	9.52e-06	22	1	1	31	.05348277	1	17	0	29	29	1	.0376843	.0376843
"automotive"	1786	1988	37	"automotive"	-.10531	.9000455		.0267341	9.52e-06	22	1	1	31	-.10530999	1	18	0	29	29	1	-.0183785	-.0183785
"automotive"	1786	1989	37	"automotive"	-.0773522	.9255638		.0267341	9.52e-06	22	1	1	31	-.0773522	1	19	0	29	29	1	-.1524476	-.1524476
"automotive"	1786	1990	37	"automotive"	-.0436665	.9572732		.0267341	9.52e-06	22	1	1	31	-.04366647	1	20	0	29	29	1	-.006564	-.006564
"automotive"	1786	1991	37	"automotive"	.0872258	1.091143		.0267341	9.52e-06	22	1	1	31	.08722583	1	21	0	29	29	1	.1515059	.1515059
"automotive"	1786	1992	37	"automotive"	.107218	1.113177		.0267341	9.52e-06	22	1	1	31	.10721803	1	22	0	29	29	1	.0712048	.0712048
"automotive"	1786	1993	37	"automotive"	.0357136	1.036359		.0267341	9.52e-06	22	1	1	31	.03571357	1	23	0	29	29	1	-.0295754	-.0295754
"automotive"	1786	1994	37	"automotive"	.0932794	1.097768		.0267341	9.52e-06	22	1	1	31	.09327939	1	24	0	29	29	1	.0296139	.0296139
"automotive"	1786	1995	37	"automotive"	.0621188	1.064089		.0267341	9.52e-06	22	1	1	31	.06211883	1	25	0	29	29	1	.0509497	.0509497
"automotive"	1786	1996	37	"automotive"	.2019987	1.223846		.0267341	9.52e-06	22	1	1	31	.20199871	1	26	0	29	29	1	.098166	.098166
"automotive"	1786	1997	37	"automotive"	.1861567	1.204611		.0267341	9.52e-06	22	1	1	31	.18615672	1	27	0	29	29	1	.1003795	.1003795
"automotive"	1786	1998	37	"automotive"	.1450063	1.156047		.0267341	9.52e-06	22	1	1	31	.14500634	1	28	0	29	29	1	-.0131321	-.0131321
"automotive"	1786	1999	37	"automotive"	.2223029	1.24895		.0267341	9.52e-06	22	1	1	31	.22230293	1	29	1	29	29	1	.0764272	.0764272
"automotive"	3734	1965	37	"automotive"	-.0547886	.9466853		.0013324	5.76e-07	47	1	1	55	-.05478862	1	1	0	54	54	1		
"automotive"	3734	1966	37	"automotive"	-.0674316	.9347917		.0013324	5.76e-07	47	1	1	55	-.06743157	1	2	0	54	54	1		
"automotive"	3734	1967	37	"automotive"	-.0567355	.9448439		.0013324	5.76e-07	47	1	1	55	-.05673555	1	3	0	54	54	1		
"automotive"	3734	1968	37	"automotive"	-.1444316	.8655141		.0013324	5.76e-07	47	1	1	55	-.14443159	1	4	0	54	54	1		
"automotive"	3734	1969	37	"automotive"	-.124522	.8829188		.0013324	5.76e-07	47	1	1	55	-.12452202	1	5	0	54	54	1		
"automotive"	3734	1970	37	"automotive"	-.1679128	.8454276		.0013324	5.76e-07	47	1	1	55	-.1679128	1	6	0	54	54	1	-.0990784	-.0990784
"automotive"	3734	1971	37	"automotive"	-.2359175	.7898458		.0013324	5.76e-07	47	1	1	55	-.23591752	1	7	0	54	54	1	-.1664655	-.1664655
"automotive"	3734	1972	37	"automotive"	-.1028977	.9022192		.0013324	5.76e-07	47	1	1	55	-.10289773	1	8	0	54	54	1	.0010263	.0010263
"automotive"	3734	1973	37	"automotive"	-.0047083	.9953028		.0013324	5.76e-07	47	1	1	55	-.00470826	1	9	0	54	54	1	.1125629	.1125629
"automotive"	3734	1974	37	"automotive"	-.026699	.9736543		.0013324	5.76e-07	47	1	1	55	-.026699	1	10	0	54	54	1	.054968	.054968
"automotive"	3734	1975	37	"automotive"	.0421969	1.0431		.0013324	5.76e-07	47	1	1	55	.04219688	1	11	0	54	54	1	.0605203	.0605203
"automotive"	3734	1976	37	"automotive"	.0687265	1.071143		.0013324	5.76e-07	47	1	1	55	.06872652	1	12	0	54	54	1	.0407577	.0407577
"automotive"	3734	1977	37	"automotive"	.1554156	1.168143		.0013324	5.76e-07	47	1	1	55	.15541564	1	13	0	54	54	1	.113571	.113571
"automotive"	3734	1978	37	"automotive"	.1936985	1.21373		.0013324	5.76e-07	47	1	1	55	.19369848	1	14	0	54	54	1	.1556301	.1556301
"automotive"	3734	1979	37	"automotive"	.1634995	1.177625		.0013324	5.76e-07	47	1	1	55	.16349953	1	15	0	54	54	1	.064829	.064829
"automotive"	3734	1980	37	"automotive"	.0415428	1.042418		.0013324	5.76e-07	47	1	1	55	.0415428	1	16	0	54	54	1	-.07714	-.07714
"automotive"	3734	1981	37	"automotive"	.0334607	1.034027		.0013324	5.76e-07	47	1	1	55	.03346071	1	17	0	54	54	1	-.0875802	-.0875802
