DATE,FIXEDINVDEF,GDPDEF
1950,18.3575,13.088
1951,19.9505,14.02275
1952,20.42,14.265
1953,20.59875,14.43925
1954,20.753,14.57225
1955,21.1,14.81725
1956,22.314,15.3225
1957,23.0785,15.83225
1958,23.17275,16.1905
1959,23.40725,16.41325
1960,23.55375,16.638
1961,23.5005,16.814
1962,23.5275,17.019
1963,23.471,17.21375
1964,23.632,17.47675
1965,24.01575,17.7955
1966,24.526,18.2945
1967,25.18,18.82525
1968,26.19,19.62575
1969,27.498,20.59
1970,28.70125,21.67725
1971,30.123,22.77475
1972,31.4105,23.7565
1973,33.16975,25.0605
1974,36.49325,27.3225
1975,40.86525,29.8405
1976,43.21275,31.48775
1977,46.52,33.44
1978,50.39775,35.7845
1979,54.97225,38.7665
1980,60.12175,42.274
1981,65.622,46.27375
1982,69.32325,49.13175
1983,69.57475,51.04475
1984,70.24375,52.89175
1985,71.27375,54.5665
1986,73.02075,55.668
1987,74.502,57.04025
1988,76.57825,59.051
1989,78.559,61.37
1990,80.28675,63.67225
1991,81.68325,65.82175
1992,81.722,67.31975
1993,82.704,68.91625
1994,83.97675,70.387
1995,85.37625,71.8645
1996,85.44875,73.17925
1997,85.59775,74.44175
1998,85.13525,75.27925
1999,85.27625,76.3655
2000,86.4825,78.07325
2001,87.2435,79.78975
2002,87.50025,81.0505
2003,88.25975,82.551
2004,90.82,84.773
2005,94.5805,87.41475
2006,97.96275,90.06375
2007,99.45625,92.4825
2008,100.323,94.28875
2009,99.06475,95.00275
2010,97.56625,96.10675
2011,98.62925,98.11525
2012,99.99575,99.99875
2013,101.08325,101.75125
2014,103.23975,103.674
2015,104.2165,104.787
2016,104.3545,105.93125
2017,105.933,107.944
2018,108.20925,110.3765
